model,language,domain,subdomain,correct,questions,accuracy
Qwen__Qwen3-4B-Instruct-2507,en,STEM,biology,538,931,57.79
Qwen__Qwen3-4B-Instruct-2507,en,STEM,chemistry,626,936,66.88
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,civics,386,675,57.19
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,commerce,213,423,50.35
Qwen__Qwen3-4B-Instruct-2507,en,STEM,computer science,637,823,77.4
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,current and international affairs,161,437,36.84
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,economics,472,907,52.04
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,education,474,836,56.7
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,ethics,111,228,48.68
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,fine arts,89,148,60.14
Qwen__Qwen3-4B-Instruct-2507,en,Other,general knowledge,653,1365,47.84
Qwen__Qwen3-4B-Instruct-2507,en,STEM,general science,636,926,68.68
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,geography,358,630,56.83
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,health and physical education,366,742,49.33
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,islamic studies,740,1497,49.43
Qwen__Qwen3-4B-Instruct-2507,en,STEM,mathematics,623,876,71.12
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,pakistan studies,832,1895,43.91
Qwen__Qwen3-4B-Instruct-2507,en,STEM,physics,448,621,72.14
Qwen__Qwen3-4B-Instruct-2507,en,Profession,professional development,222,514,43.19
Qwen__Qwen3-4B-Instruct-2507,en,Profession,professional studies,291,461,63.12
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,psychology,256,460,55.65
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,psychometrics,55,185,29.73
Qwen__Qwen3-4B-Instruct-2507,en,Social Sciences,sociology,529,778,67.99
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu grammar,390,756,51.59
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu language,1098,2522,43.54
Qwen__Qwen3-4B-Instruct-2507,en,Humanities,urdu literature,2233,5859,38.11
Qwen__Qwen3-8B,en,STEM,biology,563,931,60.47
Qwen__Qwen3-8B,en,STEM,chemistry,626,936,66.88
Qwen__Qwen3-8B,en,Social Sciences,civics,404,675,59.85
Qwen__Qwen3-8B,en,Social Sciences,commerce,245,423,57.92
Qwen__Qwen3-8B,en,STEM,computer science,638,823,77.52
Qwen__Qwen3-8B,en,Social Sciences,current and international affairs,131,437,29.98
Qwen__Qwen3-8B,en,Social Sciences,economics,512,907,56.45
Qwen__Qwen3-8B,en,Social Sciences,education,524,836,62.68
Qwen__Qwen3-8B,en,Humanities,ethics,137,228,60.09
Qwen__Qwen3-8B,en,Humanities,fine arts,69,148,46.62
Qwen__Qwen3-8B,en,Other,general knowledge,685,1365,50.18
Qwen__Qwen3-8B,en,STEM,general science,654,926,70.63
Qwen__Qwen3-8B,en,Social Sciences,geography,362,630,57.46
Qwen__Qwen3-8B,en,Social Sciences,health and physical education,389,742,52.43
Qwen__Qwen3-8B,en,Humanities,islamic studies,756,1497,50.5
Qwen__Qwen3-8B,en,STEM,mathematics,662,876,75.57
Qwen__Qwen3-8B,en,Social Sciences,pakistan studies,853,1895,45.01
Qwen__Qwen3-8B,en,STEM,physics,472,621,76.01
Qwen__Qwen3-8B,en,Profession,professional development,236,514,45.91
Qwen__Qwen3-8B,en,Profession,professional studies,316,461,68.55
Qwen__Qwen3-8B,en,Social Sciences,psychology,273,460,59.35
Qwen__Qwen3-8B,en,Social Sciences,psychometrics,56,185,30.27
Qwen__Qwen3-8B,en,Social Sciences,sociology,553,778,71.08
Qwen__Qwen3-8B,en,Humanities,urdu grammar,390,756,51.59
Qwen__Qwen3-8B,en,Humanities,urdu language,1162,2522,46.07
Qwen__Qwen3-8B,en,Humanities,urdu literature,1803,5859,30.77
Qwen__Qwen3.6-35B-A3B,en,STEM,biology,803,931,86.25
Qwen__Qwen3.6-35B-A3B,en,STEM,chemistry,825,936,88.14
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,civics,540,675,80.0
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,commerce,334,423,78.96
Qwen__Qwen3.6-35B-A3B,en,STEM,computer science,761,823,92.47
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,current and international affairs,188,437,43.02
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,economics,712,907,78.5
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,education,628,836,75.12
Qwen__Qwen3.6-35B-A3B,en,Humanities,ethics,177,228,77.63
Qwen__Qwen3.6-35B-A3B,en,Humanities,fine arts,117,148,79.05
Qwen__Qwen3.6-35B-A3B,en,Other,general knowledge,953,1365,69.82
Qwen__Qwen3.6-35B-A3B,en,STEM,general science,828,926,89.42
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,geography,508,630,80.63
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,health and physical education,510,742,68.73
Qwen__Qwen3.6-35B-A3B,en,Humanities,islamic studies,1175,1497,78.49
Qwen__Qwen3.6-35B-A3B,en,STEM,mathematics,759,876,86.64
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,pakistan studies,1292,1895,68.18
Qwen__Qwen3.6-35B-A3B,en,STEM,physics,563,621,90.66
Qwen__Qwen3.6-35B-A3B,en,Profession,professional development,360,514,70.04
Qwen__Qwen3.6-35B-A3B,en,Profession,professional studies,376,461,81.56
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,psychology,385,460,83.7
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,psychometrics,76,185,41.08
Qwen__Qwen3.6-35B-A3B,en,Social Sciences,sociology,685,778,88.05
Qwen__Qwen3.6-35B-A3B,en,Humanities,urdu grammar,510,756,67.46
Qwen__Qwen3.6-35B-A3B,en,Humanities,urdu language,1573,2522,62.37
Qwen__Qwen3.6-35B-A3B,en,Humanities,urdu literature,2703,5859,46.13
bigscience__bloomz-1b1,en,STEM,biology,224,931,24.06
bigscience__bloomz-1b1,en,STEM,chemistry,229,935,24.49
bigscience__bloomz-1b1,en,Social Sciences,civics,162,675,24.0
bigscience__bloomz-1b1,en,Social Sciences,commerce,112,423,26.48
bigscience__bloomz-1b1,en,STEM,computer science,211,823,25.64
bigscience__bloomz-1b1,en,Social Sciences,current and international affairs,112,432,25.93
bigscience__bloomz-1b1,en,Social Sciences,economics,220,907,24.26
bigscience__bloomz-1b1,en,Social Sciences,education,181,836,21.65
bigscience__bloomz-1b1,en,Humanities,ethics,64,228,28.07
bigscience__bloomz-1b1,en,Humanities,fine arts,31,145,21.38
bigscience__bloomz-1b1,en,Other,general knowledge,348,1358,25.63
bigscience__bloomz-1b1,en,STEM,general science,176,925,19.03
bigscience__bloomz-1b1,en,Social Sciences,geography,149,630,23.65
bigscience__bloomz-1b1,en,Social Sciences,health and physical education,182,742,24.53
bigscience__bloomz-1b1,en,Humanities,islamic studies,374,1490,25.1
bigscience__bloomz-1b1,en,STEM,mathematics,211,875,24.11
bigscience__bloomz-1b1,en,Social Sciences,pakistan studies,471,1891,24.91
bigscience__bloomz-1b1,en,STEM,physics,151,621,24.32
bigscience__bloomz-1b1,en,Profession,professional development,128,510,25.1
bigscience__bloomz-1b1,en,Profession,professional studies,125,461,27.11
bigscience__bloomz-1b1,en,Social Sciences,psychology,116,458,25.33
bigscience__bloomz-1b1,en,Social Sciences,psychometrics,46,185,24.86
bigscience__bloomz-1b1,en,Social Sciences,sociology,190,778,24.42
bigscience__bloomz-1b1,en,Humanities,urdu grammar,183,705,25.96
bigscience__bloomz-1b1,en,Humanities,urdu language,685,2495,27.45
bigscience__bloomz-1b1,en,Humanities,urdu literature,1629,5839,27.9
bigscience__bloomz-1b7,en,STEM,biology,231,889,25.98
bigscience__bloomz-1b7,en,STEM,chemistry,239,893,26.76
bigscience__bloomz-1b7,en,Social Sciences,civics,234,672,34.82
bigscience__bloomz-1b7,en,Social Sciences,commerce,131,419,31.26
bigscience__bloomz-1b7,en,STEM,computer science,274,785,34.9
bigscience__bloomz-1b7,en,Social Sciences,current and international affairs,126,433,29.1
bigscience__bloomz-1b7,en,Social Sciences,economics,293,903,32.45
bigscience__bloomz-1b7,en,Social Sciences,education,320,835,38.32
bigscience__bloomz-1b7,en,Humanities,ethics,72,225,32.0
bigscience__bloomz-1b7,en,Humanities,fine arts,33,140,23.57
bigscience__bloomz-1b7,en,Other,general knowledge,412,1311,31.43
bigscience__bloomz-1b7,en,STEM,general science,290,890,32.58
bigscience__bloomz-1b7,en,Social Sciences,geography,187,629,29.73
bigscience__bloomz-1b7,en,Social Sciences,health and physical education,238,738,32.25
bigscience__bloomz-1b7,en,Humanities,islamic studies,440,1470,29.93
bigscience__bloomz-1b7,en,STEM,mathematics,225,807,27.88
bigscience__bloomz-1b7,en,Social Sciences,pakistan studies,588,1869,31.46
bigscience__bloomz-1b7,en,STEM,physics,148,597,24.79
bigscience__bloomz-1b7,en,Profession,professional development,139,475,29.26
bigscience__bloomz-1b7,en,Profession,professional studies,203,445,45.62
bigscience__bloomz-1b7,en,Social Sciences,psychology,127,459,27.67
bigscience__bloomz-1b7,en,Social Sciences,psychometrics,66,183,36.07
bigscience__bloomz-1b7,en,Social Sciences,sociology,329,778,42.29
bigscience__bloomz-1b7,en,Humanities,urdu grammar,176,751,23.44
bigscience__bloomz-1b7,en,Humanities,urdu language,695,2495,27.86
bigscience__bloomz-1b7,en,Humanities,urdu literature,1564,5678,27.54
bigscience__bloomz-3b,en,STEM,biology,283,923,30.66
bigscience__bloomz-3b,en,STEM,chemistry,235,930,25.27
bigscience__bloomz-3b,en,Social Sciences,civics,261,666,39.19
bigscience__bloomz-3b,en,Social Sciences,commerce,132,405,32.59
bigscience__bloomz-3b,en,STEM,computer science,210,786,26.72
bigscience__bloomz-3b,en,Social Sciences,current and international affairs,125,437,28.6
bigscience__bloomz-3b,en,Social Sciences,economics,317,882,35.94
bigscience__bloomz-3b,en,Social Sciences,education,270,793,34.05
bigscience__bloomz-3b,en,Humanities,ethics,71,225,31.56
bigscience__bloomz-3b,en,Humanities,fine arts,44,140,31.43
bigscience__bloomz-3b,en,Other,general knowledge,381,1342,28.39
bigscience__bloomz-3b,en,STEM,general science,271,913,29.68
bigscience__bloomz-3b,en,Social Sciences,geography,184,626,29.39
bigscience__bloomz-3b,en,Social Sciences,health and physical education,221,693,31.89
bigscience__bloomz-3b,en,Humanities,islamic studies,453,1421,31.88
bigscience__bloomz-3b,en,STEM,mathematics,243,863,28.16
bigscience__bloomz-3b,en,Social Sciences,pakistan studies,572,1873,30.54
bigscience__bloomz-3b,en,STEM,physics,161,615,26.18
bigscience__bloomz-3b,en,Profession,professional development,136,496,27.42
bigscience__bloomz-3b,en,Profession,professional studies,147,379,38.79
bigscience__bloomz-3b,en,Social Sciences,psychology,148,442,33.48
bigscience__bloomz-3b,en,Social Sciences,psychometrics,27,110,24.55
bigscience__bloomz-3b,en,Social Sciences,sociology,302,766,39.43
bigscience__bloomz-3b,en,Humanities,urdu grammar,152,496,30.65
bigscience__bloomz-3b,en,Humanities,urdu language,566,1939,29.19
bigscience__bloomz-3b,en,Humanities,urdu literature,1667,5541,30.08
bigscience__bloomz-7b1-mt,en,STEM,biology,242,866,27.94
bigscience__bloomz-7b1-mt,en,STEM,chemistry,226,854,26.46
bigscience__bloomz-7b1-mt,en,Social Sciences,civics,195,616,31.66
bigscience__bloomz-7b1-mt,en,Social Sciences,commerce,119,369,32.25
bigscience__bloomz-7b1-mt,en,STEM,computer science,195,673,28.97
bigscience__bloomz-7b1-mt,en,Social Sciences,current and international affairs,111,408,27.21
bigscience__bloomz-7b1-mt,en,Social Sciences,economics,270,822,32.85
bigscience__bloomz-7b1-mt,en,Social Sciences,education,308,774,39.79
bigscience__bloomz-7b1-mt,en,Humanities,ethics,69,211,32.7
bigscience__bloomz-7b1-mt,en,Humanities,fine arts,38,129,29.46
bigscience__bloomz-7b1-mt,en,Other,general knowledge,375,1334,28.11
bigscience__bloomz-7b1-mt,en,STEM,general science,253,853,29.66
bigscience__bloomz-7b1-mt,en,Social Sciences,geography,181,584,30.99
bigscience__bloomz-7b1-mt,en,Social Sciences,health and physical education,232,671,34.58
bigscience__bloomz-7b1-mt,en,Humanities,islamic studies,411,1410,29.15
bigscience__bloomz-7b1-mt,en,STEM,mathematics,217,803,27.02
bigscience__bloomz-7b1-mt,en,Social Sciences,pakistan studies,549,1744,31.48
bigscience__bloomz-7b1-mt,en,STEM,physics,144,553,26.04
bigscience__bloomz-7b1-mt,en,Profession,professional development,127,481,26.4
bigscience__bloomz-7b1-mt,en,Profession,professional studies,156,408,38.24
bigscience__bloomz-7b1-mt,en,Social Sciences,psychology,131,389,33.68
bigscience__bloomz-7b1-mt,en,Social Sciences,psychometrics,39,135,28.89
bigscience__bloomz-7b1-mt,en,Social Sciences,sociology,283,694,40.78
bigscience__bloomz-7b1-mt,en,Humanities,urdu grammar,204,670,30.45
bigscience__bloomz-7b1-mt,en,Humanities,urdu language,543,2008,27.04
bigscience__bloomz-7b1-mt,en,Humanities,urdu literature,1363,5021,27.15
claude-haiku-4-5,en,STEM,biology,831,931,89.26
claude-haiku-4-5,en,STEM,chemistry,844,936,90.17
claude-haiku-4-5,en,Social Sciences,civics,552,675,81.78
claude-haiku-4-5,en,Social Sciences,commerce,337,423,79.67
claude-haiku-4-5,en,STEM,computer science,757,823,91.98
claude-haiku-4-5,en,Social Sciences,current and international affairs,205,425,48.24
claude-haiku-4-5,en,Social Sciences,economics,728,907,80.26
claude-haiku-4-5,en,Social Sciences,education,633,836,75.72
claude-haiku-4-5,en,Humanities,ethics,178,228,78.07
claude-haiku-4-5,en,Humanities,fine arts,114,147,77.55
claude-haiku-4-5,en,Other,general knowledge,1012,1365,74.14
claude-haiku-4-5,en,STEM,general science,812,926,87.69
claude-haiku-4-5,en,Social Sciences,geography,517,630,82.06
claude-haiku-4-5,en,Social Sciences,health and physical education,555,741,74.9
claude-haiku-4-5,en,Humanities,islamic studies,1215,1495,81.27
claude-haiku-4-5,en,STEM,mathematics,803,873,91.98
claude-haiku-4-5,en,Social Sciences,pakistan studies,1356,1894,71.59
claude-haiku-4-5,en,STEM,physics,577,621,92.91
claude-haiku-4-5,en,Profession,professional development,359,514,69.84
claude-haiku-4-5,en,Profession,professional studies,381,461,82.65
claude-haiku-4-5,en,Social Sciences,psychology,393,460,85.43
claude-haiku-4-5,en,Social Sciences,psychometrics,75,184,40.76
