model,language,domain,subdomain,correct,questions,accuracy
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,pakistan studies,667,1818,36.69
enstazao__Qalb-1.0-8B-Instruct,ur,STEM,physics,175,550,31.82
enstazao__Qalb-1.0-8B-Instruct,ur,Profession,professional development,183,479,38.2
enstazao__Qalb-1.0-8B-Instruct,ur,Profession,professional studies,162,398,40.7
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,psychology,124,344,36.05
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,psychometrics,23,76,30.26
enstazao__Qalb-1.0-8B-Instruct,ur,Social Sciences,sociology,255,572,44.58
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,urdu grammar,229,696,32.9
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,urdu language,727,2253,32.27
enstazao__Qalb-1.0-8B-Instruct,ur,Humanities,urdu literature,1829,5743,31.85
gemini-3.1-flash-lite,ur,STEM,biology,913,931,98.07
gemini-3.1-flash-lite,ur,STEM,chemistry,914,936,97.65
gemini-3.1-flash-lite,ur,Social Sciences,civics,640,675,94.81
gemini-3.1-flash-lite,ur,Social Sciences,commerce,401,423,94.8
gemini-3.1-flash-lite,ur,STEM,computer science,792,823,96.23
gemini-3.1-flash-lite,ur,Social Sciences,current and international affairs,299,437,68.42
gemini-3.1-flash-lite,ur,Social Sciences,economics,854,907,94.16
gemini-3.1-flash-lite,ur,Social Sciences,education,735,836,87.92
gemini-3.1-flash-lite,ur,Humanities,ethics,206,228,90.35
gemini-3.1-flash-lite,ur,Humanities,fine arts,127,148,85.81
gemini-3.1-flash-lite,ur,Other,general knowledge,1168,1365,85.57
gemini-3.1-flash-lite,ur,STEM,general science,896,926,96.76
gemini-3.1-flash-lite,ur,Social Sciences,geography,599,630,95.08
gemini-3.1-flash-lite,ur,Social Sciences,health and physical education,677,742,91.24
gemini-3.1-flash-lite,ur,Humanities,islamic studies,1362,1497,90.98
gemini-3.1-flash-lite,ur,STEM,mathematics,844,876,96.35
gemini-3.1-flash-lite,ur,Social Sciences,pakistan studies,1745,1895,92.08
gemini-3.1-flash-lite,ur,STEM,physics,605,621,97.42
gemini-3.1-flash-lite,ur,Profession,professional development,450,514,87.55
gemini-3.1-flash-lite,ur,Profession,professional studies,431,461,93.49
gemini-3.1-flash-lite,ur,Social Sciences,psychology,433,460,94.13
gemini-3.1-flash-lite,ur,Social Sciences,psychometrics,69,185,37.3
gemini-3.1-flash-lite,ur,Social Sciences,sociology,727,778,93.44
gemini-3.1-flash-lite,ur,Humanities,urdu grammar,645,756,85.32
gemini-3.1-flash-lite,ur,Humanities,urdu language,2099,2521,83.26
gemini-3.1-flash-lite,ur,Humanities,urdu literature,3750,5859,64.0
gemini-3.5-flash,ur,STEM,biology,918,931,98.6
gemini-3.5-flash,ur,STEM,chemistry,915,935,97.86
gemini-3.5-flash,ur,Social Sciences,civics,641,675,94.96
